epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.50268,3.59971,3.75156,3.84407,0.00167,0.5,0.02148,0.00246,3.70889,4.95225,4.17867,0,0,0
2,6.65341,3.73505,3.7991,3.40169,0.00167,0.5,0.04784,0.00514,3.64476,4.81519,4.25486,1.9604e-05,1.9604e-05,1.9604e-05
3,9.4765,3.36478,3.70151,3.27461,0.00167,0.5,0.04247,0.005,3.56863,5.07813,4.24651,3.8416e-05,3.8416e-05,3.8416e-05
4,12.434,3.66265,3.79155,3.44094,0.00167,0.5,0.02826,0.00283,3.84756,4.79496,4.25628,5.6436e-05,5.6436e-05,5.6436e-05
5,15.4236,3.63702,3.78011,3.85791,0.00167,0.5,0.02826,0.00283,3.84756,4.79496,4.25628,7.3664e-05,7.3664e-05,7.3664e-05
6,18.3996,3.19592,4.44248,3.07282,0.00167,0.5,0.08709,0.01077,3.75159,5.2716,4.25722,9.01e-05,9.01e-05,9.01e-05
7,21.2643,3.79713,3.25628,3.152,0.00167,0.5,0.08709,0.01077,3.75159,5.2716,4.25722,0.000105744,0.000105744,0.000105744
8,24.9461,2.9197,3.65903,2.80729,0.0025,0.75,0.144,0.01499,3.49352,4.96576,3.83582,0.000120596,0.000120596,0.000120596
9,29.0295,3.1719,3.80259,2.88463,0.0025,0.75,0.144,0.01499,3.49352,4.96576,3.83582,0.000134656,0.000134656,0.000134656
10,32.2603,2.8315,3.57298,2.77214,0.0025,0.75,0.15997,0.03388,3.22689,4.51625,3.47009,0.000147924,0.000147924,0.000147924
11,36.2945,3.26905,3.24345,2.89762,0.0025,0.75,0.15997,0.03388,3.22689,4.51625,3.47009,0.0001604,0.0001604,0.0001604
12,39.7861,2.21436,3.32528,2.46629,0.0025,0.75,0.15997,0.03388,3.22689,4.51625,3.47009,0.000172084,0.000172084,0.000172084
13,42.9297,2.90223,3.37514,2.65795,0.00333,1,0.51965,0.09927,2.75026,4.40735,2.90453,0.000182976,0.000182976,0.000182976
14,46.1512,2.78434,3.47662,2.56778,0.00333,1,0.51965,0.09927,2.75026,4.40735,2.90453,0.000193076,0.000193076,0.000193076
15,50.4625,2.21583,3.70982,2.22404,0.00333,1,0.51965,0.09927,2.75026,4.40735,2.90453,0.000202384,0.000202384,0.000202384
16,54.6672,2.9085,3.23329,2.61219,0.00333,1,0.63667,0.16282,2.23843,3.92657,2.64481,0.0002109,0.0002109,0.0002109
17,58.1077,2.20766,2.96478,2.31116,0.00333,1,0.63667,0.16282,2.23843,3.92657,2.64481,0.000218624,0.000218624,0.000218624
18,61.7394,2.14264,2.92562,2.2833,0.00333,1,0.63667,0.16282,2.23843,3.92657,2.64481,0.000225556,0.000225556,0.000225556
19,65.4955,2.55909,2.92148,2.38614,0.00333,1,0.63667,0.16282,2.23843,3.92657,2.64481,0.000231696,0.000231696,0.000231696
20,69.1005,2.20752,2.99421,2.3087,0.00333,1,0.55407,0.23217,1.74284,4.09087,2.24129,0.000237044,0.000237044,0.000237044
21,73.1712,2.20832,2.5349,1.99796,0.00333,1,0.55407,0.23217,1.74284,4.09087,2.24129,0.0002416,0.0002416,0.0002416
22,76.8028,2.09258,2.67034,2.1427,0.00333,1,0.55407,0.23217,1.74284,4.09087,2.24129,0.000245364,0.000245364,0.000245364
23,80.3239,2.12806,2.93365,1.87341,0.00333,1,0.55407,0.23217,1.74284,4.09087,2.24129,0.000248336,0.000248336,0.000248336
24,83.7142,2.77442,3.80258,2.51912,0.00333,1,0.54708,0.27673,1.78649,3.72928,2.00575,0.000250516,0.000250516,0.000250516
25,86.9011,1.92408,2.65214,1.90526,0.00333,1,0.54708,0.27673,1.78649,3.72928,2.00575,0.000251904,0.000251904,0.000251904
26,90.0833,1.93,2.61587,1.92883,0.00333,1,0.54708,0.27673,1.78649,3.72928,2.00575,0.0002525,0.0002525,0.0002525
27,93.3931,1.82947,2.44062,1.83499,0.00333,1,0.54708,0.27673,1.78649,3.72928,2.00575,0.000252304,0.000252304,0.000252304
28,96.6537,2.38384,2.58854,2.24355,0.00333,1,0.54708,0.27673,1.78649,3.72928,2.00575,0.000251316,0.000251316,0.000251316
29,100.086,2.25096,3.3221,2.11338,0.00333,1,0.895,0.39025,1.87026,3.53613,1.92883,0.000249536,0.000249536,0.000249536
30,104.142,1.89148,3.03338,1.86351,0.00333,1,0.895,0.39025,1.87026,3.53613,1.92883,0.000246964,0.000246964,0.000246964
31,107.361,1.73427,2.75603,1.74004,0.00333,1,0.895,0.39025,1.87026,3.53613,1.92883,0.0002436,0.0002436,0.0002436
32,110.599,1.77037,2.62163,1.8308,0.00333,1,0.895,0.39025,1.87026,3.53613,1.92883,0.000239444,0.000239444,0.000239444
33,114.945,2.24321,2.99727,2.02473,0.00333,1,0.895,0.39025,1.87026,3.53613,1.92883,0.000234496,0.000234496,0.000234496
34,118.462,1.77545,2.37627,1.77662,0.00333,1,0.895,0.39025,1.87026,3.53613,1.92883,0.000228756,0.000228756,0.000228756
35,121.589,1.73099,2.59208,1.74987,0.00333,1,0.895,0.45353,1.62986,3.40279,1.80793,0.000222224,0.000222224,0.000222224
36,125.115,1.59307,2.39137,1.61835,0.00333,1,0.895,0.45353,1.62986,3.40279,1.80793,0.0002149,0.0002149,0.0002149
37,128.212,1.42223,2.21554,1.54769,0.00333,1,0.895,0.45353,1.62986,3.40279,1.80793,0.000206784,0.000206784,0.000206784
38,131.51,1.552,2.18197,1.62439,0.00333,1,0.895,0.45353,1.62986,3.40279,1.80793,0.000197876,0.000197876,0.000197876
39,135.258,1.52197,2.2113,1.59749,0.00333,1,0.895,0.45353,1.62986,3.40279,1.80793,0.000188176,0.000188176,0.000188176
40,138.35,1.70639,2.37438,1.62403,0.00333,1,0.895,0.45353,1.62986,3.40279,1.80793,0.000177684,0.000177684,0.000177684
41,141.573,1.98574,3.83255,2.12646,0.00333,1,0.895,0.45353,1.62986,3.40279,1.80793,0.0001664,0.0001664,0.0001664
