epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.46309,3.86399,10.4114,3.53426,0.00203,0.25,0.01085,0.0021,4.02956,6.07612,4.42694,0,0,0
2,15.5981,3.72538,7.05705,3.27804,0.00342,0.75,0.02128,0.00431,4.03831,6.07584,4.34995,1.9604e-05,1.9604e-05,1.9604e-05
3,24.4503,3.04839,8.52541,2.99632,0.00271,0.75,0.0319,0.00789,3.95108,6.66556,4.10859,3.8416e-05,3.8416e-05,3.8416e-05
4,33.7436,3.04764,3.99363,2.78185,0.42884,0.25,0.13721,0.01385,3.86073,6.94755,3.98169,5.6436e-05,5.6436e-05,5.6436e-05
5,42.9213,2.91332,4.60219,2.77963,0.7129,0.25,0.27484,0.05483,3.66829,8.92902,3.60837,7.3664e-05,7.3664e-05,7.3664e-05
6,51.9988,1.56953,4.4801,1.66019,0.41845,0.25,0.13236,0.02592,3.5901,11.5636,3.46836,9.01e-05,9.01e-05,9.01e-05
7,61.9279,2.25209,2.57073,1.91475,0.15846,0.25,0.0661,0.0154,3.45136,11.4483,3.32742,0.000105744,0.000105744,0.000105744
8,72.3029,2.10933,2.6385,2.04289,0.19269,0.25,0.0919,0.02313,3.16988,8.79951,2.97406,0.000120596,0.000120596,0.000120596
9,84.9671,2.07288,2.88629,1.97503,0.23593,0.25,0.10848,0.04316,2.81511,7.94199,2.76669,0.000134656,0.000134656,0.000134656
10,95.0488,1.89635,2.46865,1.74418,0.30501,0.25,0.15795,0.06939,2.51101,7.78571,2.40884,0.000147924,0.000147924,0.000147924
11,105.745,1.77911,1.95275,1.49709,0.29395,0.73054,0.25493,0.12368,1.81808,5.90947,2.1423,0.0001604,0.0001604,0.0001604
12,116.406,1.48053,2.04708,1.53415,0.44106,0.75,0.595,0.18734,1.82452,5.45361,2.15072,0.000172084,0.000172084,0.000172084
13,127.48,1.93748,2.0892,1.88045,0.75436,0.5,0.67,0.20549,1.65132,5.71932,2.13335,0.000182976,0.000182976,0.000182976
14,137.648,1.70817,2.7292,1.6825,0.62643,0.75,0.71091,0.26563,1.47198,5.0079,2.02495,0.000193076,0.000193076,0.000193076
15,150.33,1.20658,1.94855,1.23243,0.78731,0.93654,0.945,0.55659,1.34065,4.03871,1.94681,0.000202384,0.000202384,0.000202384
16,160.545,1.50724,1.64487,1.40394,0.97045,1,0.995,0.63407,1.2424,3.62734,1.89276,0.0002109,0.0002109,0.0002109
