epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.69677,3.26716,3.72257,3.55628,0.00333,1,0.01861,0.00267,3.16388,4.7018,3.19169,0,0,0
2,7.66263,3.27478,3.14156,2.60468,0.00333,1,0.02022,0.00322,3.11649,4.81792,3.07219,1.9604e-05,1.9604e-05,1.9604e-05
3,10.8388,2.69081,3.62333,2.77706,0.00333,1,0.04817,0.00606,3.1675,4.78466,3.06598,3.8416e-05,3.8416e-05,3.8416e-05
4,13.8499,2.71492,3.00123,2.44643,0.00333,1,0.05337,0.00539,3.3292,4.54094,3.28802,5.6436e-05,5.6436e-05,5.6436e-05
5,16.9403,2.6516,3.17294,2.74168,0.00333,1,0.05337,0.00539,3.3292,4.54094,3.28802,7.3664e-05,7.3664e-05,7.3664e-05
6,20.2167,2.23652,3.30502,2.05228,0.00333,1,0.06718,0.01482,3.24612,4.30033,3.38455,9.01e-05,9.01e-05,9.01e-05
7,23.7807,2.66252,2.71617,2.38545,0.00333,1,0.06718,0.01482,3.24612,4.30033,3.38455,0.000105744,0.000105744,0.000105744
8,27.6549,2.23467,2.95582,2.19585,0.00333,1,0.16469,0.07244,2.41496,3.97551,2.83716,0.000120596,0.000120596,0.000120596
9,31.3046,2.2536,3.05052,2.37859,0.00333,1,0.16469,0.07244,2.41496,3.97551,2.83716,0.000134656,0.000134656,0.000134656
10,34.6417,2.33155,2.79842,2.19342,0.00333,1,0.16083,0.0674,1.87253,3.68202,2.52116,0.000147924,0.000147924,0.000147924
11,37.8563,2.45185,2.60453,2.03205,0.00333,1,0.16083,0.0674,1.87253,3.68202,2.52116,0.0001604,0.0001604,0.0001604
12,40.8864,1.62839,2.5266,1.62514,0.00333,1,0.16083,0.0674,1.87253,3.68202,2.52116,0.000172084,0.000172084,0.000172084
13,44.2462,2.12415,2.8175,2.21187,0.00333,1,0.24702,0.1347,1.90342,3.72449,2.48943,0.000182976,0.000182976,0.000182976
14,47.3663,2.04546,2.60008,2.10201,0.00333,1,0.24702,0.1347,1.90342,3.72449,2.48943,0.000193076,0.000193076,0.000193076
15,50.432,1.72223,2.33028,1.47856,0.00333,1,0.24702,0.1347,1.90342,3.72449,2.48943,0.000202384,0.000202384,0.000202384
16,53.9435,1.91531,2.58129,1.79279,0.00333,1,0.495,0.25072,1.80602,3.52987,2.44816,0.0002109,0.0002109,0.0002109
